Vendor,Model,OS,Kernel,CPP,Ver,JEM,Mem,Dimms,Size,Rank,Speed,Mfg,Gen,CPU,TDP,Cores,ACT,Chips,Cores,Threads,Score,URL,,,,,,,,,low(x),med(x),high(x)
HPE,ProLiant BL460c Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.2.187,,192,12,16,2Rx8,2933,Intel,CLX,3204,85,6,1.9,2,12,12,39.7,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190514-14020.html,,,,,,,,,,,
HPE,Synergy 480 Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.2.187,,384,24,16,2Rx8,2933,Intel,CLX,3204,85,6,1.9,2,12,12,39.7,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190709-16098.html,,,,,,,,,,,
HPE,ProLiant DL360 Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.2.187,,384,24,16,2Rx8,2933,Intel,CLX,3204,85,6,1.9,2,12,12,39.7,http://spec.org/cpu2017/results/res2019q4/cpu2017-20190819-16883.html,,,,,,,,,,,
Lenovo,ThinkSystem SR590,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,192,12,16,2Rx8,2933,Intel,CLX,3204,85,6,1.9,2,12,12,39.7,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190429-12846.html,,,,,,,,,,,
Lenovo,ThinkSystem SR530,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,192,12,16,2Rx8,2933,Intel,CLX,3204,85,6,1.9,2,12,12,39.7,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190513-13800.html,,,,,,,,,,,
Lenovo,ThinkSystem SR550,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,384,12,32,2Rx4,2666,Intel,CLX,3204,85,6,1.9,2,12,12,39.7,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190513-13817.html,,,,,,,,,,,
Lenovo,ThinkSystem SN550,SUSE Linux Enterprise Server 15,4.12.14-25.13-default,Intel C/C++,19.0.1.144,,768,24,32,2Rx4,2666,Intel,CLX,3204,85,6,1.9,2,12,12,39.7,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190527-14657.html,,,,,,,,,,,
HPE,ProLiant DL380 Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.1.144,,768,24,32,2Rx4,2933,Intel,CLX,6240,150,18,3.3,2,36,72,231,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190513-13925.html,,,,,,,,,,,
Dell,PowerEdge M640,Ubuntu 18.04.2 LTS,4.15.0-45-generic,Intel C/C++,19.0.1.144,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,8268,205,24,3.5,2,48,96,293,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190610-15046.html,,,,,,,,,,,
Huawei,5288 V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,8276,165,28,3,2,56,112,293,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190425-12294.html,,,,,,,,,,,
Huawei,CH121 V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,8276,165,28,3,2,56,112,293,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190425-12298.html,,,,,,,,,,,
Huawei,1288H V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,8276L,165,28,3,2,56,112,293,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190425-12300.html,,,,,,,,,,,
Huawei,5288 V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,8276L,165,28,3,2,56,112,293,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190425-12308.html,,,,,,,,,,,
Huawei,CH121 V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,8276L,165,28,3,2,56,112,293,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190425-12315.html,,,,,,,,,,,
Huawei,CH225 V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,8276L,165,28,3,2,56,112,293,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190425-12321.html,,,,,,,,,,,
Huawei,2288H V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,5.0.1,384,24,16,2Rx8,2933,Intel,CLX,6254,200,18,3.9,2,36,72,245,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190404-11727.html,,,,,,,,,,,
Lenovo,ThinkSystem SD530,SUSE Linux Enterprise Server 15,4.12.14-25.13-default,Intel C/C++,19.0.1.144,,384,12,32,2Rx4,2933,Intel,CLX,6254,200,18,3.9,2,36,72,245,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190527-14823.html,,,,,,,,,,,
HPE,ProLiant ML350 Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.2.187,,384,24,16,2Rx8,2666,Intel,CLX,3204,85,6,1.9,2,12,12,39.8,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190708-16041.html,,,,,,,,,,,
HPE,ProLiant DL380 Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2666,Intel,CLX,3204,85,6,1.9,2,12,12,39.8,http://spec.org/cpu2017/results/res2019q4/cpu2017-20190819-16821.html,,,,,,,,,,,
Dell,PowerEdge M640,Ubuntu 18.04.2 LTS,4.15.0-45-generic,Intel,19.0.4.227,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,8270,205,26,3.4,2,52,104,309,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190708-15958.html,,,,,,,,,,,
Dell,PowerEdge R540,Ubuntu 18.04.2 LTS,4.15.0-45-generic,Intel C/C++,19.0.4.227,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,3204,85,6,1.9,2,12,12,39.9,http://spec.org/cpu2017/results/res2019q4/cpu2017-20190916-18000.html,,,,,,,,,,,
Lenovo,ThinkSystem SR650,Red Hat Enterprise Linux Server 7.6 (Maipo),3.10.0-957.el7.x86_64,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,3204,85,6,1.9,2,12,12,39.9,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190527-14779.html,,,,,,,,,,,
Lenovo,ThinkSystem SD530,SUSE Linux Enterprise Server 15,4.12.14-25.13-default,Intel C/C++,19.0.1.144,,192,12,16,2Rx8,2933,Intel,CLX,3204,85,6,1.9,2,12,12,39.9,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190527-14806.html,,,,,,,,,,,
HPE,ProLiant BL460c Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.2.187,,192,12,16,2Rx8,2933,Intel,CLX,6242,150,16,3.5,2,32,64,196,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190415-11874.html,,,,,,,,,,,
Dell,PowerEdge MX740c,Ubuntu 18.04.2 LTS,4.15.0-58-generic,Intel C/C++,19.0.4.227,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,6254,200,18,3.9,2,36,72,246,http://spec.org/cpu2017/results/res2019q4/cpu2017-20190916-17948.html,,,,,,,,,,,
Tyrone,DIT400TR-28RL,CentOS Linux 7 (Core),3.10.0-1062.el7.x86_64,Intel C/C++,19.0.4.243,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,6254,200,18,3.9,2,36,72,246,http://spec.org/cpu2017/results/res2020q1/cpu2017-20200125-20683.html,,,,,,,,,,,
Dell,PowerEdge R740xd,SUSE Linux Enterprise Server 15 SP1,4.12.14-195-default,Intel C/C++,19.0.4.227,5.0.1,384,24,16,2Rx8,2933,Intel,CLX,4215R,130,8,3.6,2,16,32,101,http://spec.org/cpu2017/results/res2020q1/cpu2017-20200203-20787.html,,,,,,,,,,,
Lenovo,ThinkSystem SR630,Red Hat Enterprise Linux Server 7.6 (Maipo),3.10.0-957.el7.x86_64,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,6240,150,18,3.3,2,36,72,231,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190429-12947.html,,,,,,,,,,,
